224  .224. ...*.
718  .718. ....*
378  .378. .*...
284  .284. ....*
310  .310. .*...
313  .313. ..+..
744 ..... *744. .....
486 ..... .486* .....
485 ..... *485. .....
741 ..... .741. *....
359 ..... .359. ..*..
666 ..... #666. .....
439 ..... .439. ..*..
925 ..... *925. .....
235 ....* .235. .....
440 ..... .440. ...+.
251 ..*.. .251. .....
262 ....@ .262. .....
752 ....* .752. .....
774 ..$.. .774. .....
515 ....@ .515. .....
705 ..... .705% .....
746 ..... @746. .....
942 ..... .942* .....
591 ..... *591. .....
347 ..... .347. ..*..
470 ..... .470. ../..
257 ..... .257. ....*
637 *.... .637. .....
793 .*... .793. .....
299 ..*.. .299. .....
813 ..... .813. .*...
509 ..... .509. ...*.
688 ..... .688. ..*..
82 .... .82. ...*
901 ...#. .901. .....
814 ./... .814. .....
80 ..&. .80. ....
17 .... .17* ....
679 ..... .679. #....
661 ..... .661. ...*.
222 ...*. .222. .....
875 ..*.. .875. .....
213 ..... .213. *....
161 ..... .161. ...@.
964 &.... .964. .....
998 .*... .998. .....
310 ..*.. .310. .....
258 ..... .258. ....*
85 .... .85. *...
735 *.... .735. .....
586 .*... .586. .....
650 .../. .650. .....
23 ..*. .23. ....
760 ..... .760* .....
202 ..... .202. .*...
598 ....* .598. .....
536 ..... .536. ....@
702 ..... .702* .....
705 ..... .705. ..*..
793 ..... .793. .*...
957 ./... .957. .....
935 ..... .935. *....
965 ..... .965. .*...
357 ....# .357. .....
242 *.... .242. .....
956 ..... =956. .....
118 ..... .118. .*...
959 ./... .959. .....
184 ....* .184. .....
401 ..... .401* .....
527 ..... *527. .....
63 .... .63= ....
955 ..... .955. ...*.
77 ...* .77. ....
978 ...+. .978. .....
846 ..... .846. .*...
849 ..... .849. ..*..
699 ...*. .699. .....
790 ..*.. .790. .....
911 ..... =911. .....
87 .... .87. ...*
486 *.... .486. .....
914 ...*. .914. .....
842 ..... .842. ...*.
127 ..... *127. .....
844 ..... .844. ...*.
235 ..... .235. .&...
209 ..... .209@ .....
710 .=... .710. .....
735 ..... .735. ....*
144 ..*.. .144. .....
226 ...*. .226. .....
298 ..... .298. ....+
560 ....* .560. .....
431 ..... .431. ....%
586 .*... .586. .....
723 ..... .723. ...*.
482 ..... .482. ....@
871 .@... .871. .....
918 ..... /918. .....
329 ..... .329* .....
906 .*... .906. .....
350 ../.. .350. .....
365 ..... .365. *....
361 ..*.. .361. .....
536 ..... .536. ..*..
793 ..... .793. .+...
664 *.... .664. .....
739 ..... .739. *....
507 ..*.. .507. .....
289 ..... .289. *....
256 ..... .256% .....
73 .... .739 *...
356 ..... .356. ...*.
834 ..... .834. ..*..
96 .... .96. .*..
939 ..... .939. .-...
28 .+.. .28. ....
553 ..*.. .553. .....
526 ..... .526. .$...
501 ...*. .501. .....
746 ..... .746. ...*.
890 =.... .890. .....
701 ...*. .701. .....
807 ..... .807. ...*.
447 ...*. .447. .....
97 .... .97$ ....
58 .... .58. .*..
891 ...*. .891. .....
346 *.... .346. .....
699 ..... .699. .%...
421 ....* .421. .....
666 .=... .666. .....
198 ..... .198* .....
791 ..... *791. .....
340 ..... .340. /....
433 .+... .433. .....
316 %.... .316. .....
81 .... .81. .@..
984 ...*. .984. .....
462 +.... .462. .....
116 ..... .116. *....
711 ....# .711. .....
963 .%... .963. .....
380 ..... .380. ....*
85 .*.. .85. ....
224 .%... .224. .....
370 ..... .370. .*...
923 ..... .923. .-...
188 ..... .188+ .....
326 ..... .326* .....
67 .$.. .67. ....
582 ..... *582. .....
530 ..... #530. .....
489 ..... .489. *....
59 .... .59. .@..
100 ..... .100. ...=.
441 ..... .441* .....
161 .... *161 ....
637 ..... .637* .....
961 .*... .961. .....
118 ..... .118. ....*
21 .... .21* ....
216 ..... .216+ .....
432 ..... .432* .....
309 ..... *309. .....
64 .... .64. *...
992 #.... .992. .....
81 .... .81. .*..
781 .*... .781. .....
644 ..... .644. ....*
324 *.... .324. .....
126 ..... .126. *....
166 ..... *166. .....
385 ..... .385* .....
233 .+... .233. .....
436 ..... .436. ..$..
517 ..... *517. .....
88 .... .88* ....
390 ..... .390* .....
355 ..... .355. *....
